STT,Mã kiểm tra,Trạng thái,Số lượng HS tìm thấy,Đánh giá trùng lặp,Tóm tắt đối chiếu,Ký hiệu hồ sơ (HS 1),Mã hệ thống (HS 1),Tiêu đề hồ sơ (HS 1),Năm (HS 1),Thời hạn bảo quản (HS 1),Link chi tiết (HS 1),Nội dung chi tiết tất cả hồ sơ quét được,Ghi chú / Lỗi
1,"H31.05.02.H31.09.2005.281",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2005.281","H31.09.2005.002136","Hồ sơ Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên (từ số 01 - 75)",2005,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2136/index.aspx?am=0,1,2&rf=639253254470053522","[HS 1] Ký hiệu: H31.05.02.H31.09.2005.281 | Mã HT: H31.09.2005.002136 | Năm: 2005 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên (từ số 01 - 75) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2005.281 | Mã HT: H31.09.2005.002237 | Năm: 2005 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên (từ số 01 - 75) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2005.281 | Mã HT: H31.09.2005.002414 | Năm: 2005 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên (từ số 01 - 75) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2005.281 | Mã HT: H31.09.2005.002591 | Năm: 2005 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên (từ số 01 - 75) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2005.281 | Mã HT: H31.09.2005.005570 | Năm: 2005 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên (từ số 01 - 75) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2005.281 | Mã HT: H31.09.2005.008549 | Năm: 2005 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên (từ số 01 - 75)",""
2,"H31.05.02.H31.09.2005.282",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2005.282","H31.09.2005.002137","Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 36)",2005,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2137/index.aspx?am=0,1,2&rf=639253254477709884","[HS 1] Ký hiệu: H31.05.02.H31.09.2005.282 | Mã HT: H31.09.2005.002137 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 36) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2005.282 | Mã HT: H31.09.2005.002238 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 36) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2005.282 | Mã HT: H31.09.2005.002415 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 36) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2005.282 | Mã HT: H31.09.2005.002592 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 36) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2005.282 | Mã HT: H31.09.2005.005571 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 36) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2005.282 | Mã HT: H31.09.2005.008550 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 36)",""
3,"H31.05.02.H31.09.2005.283",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2005.283","H31.09.2005.002138","Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 37 - 61)",2005,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2138/index.aspx?am=0,1,2&rf=639253254485210016","[HS 1] Ký hiệu: H31.05.02.H31.09.2005.283 | Mã HT: H31.09.2005.002138 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 37 - 61) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2005.283 | Mã HT: H31.09.2005.002239 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 37 - 61) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2005.283 | Mã HT: H31.09.2005.002416 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 37 - 61) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2005.283 | Mã HT: H31.09.2005.002593 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 37 - 61) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2005.283 | Mã HT: H31.09.2005.005572 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 37 - 61) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2005.283 | Mã HT: H31.09.2005.008551 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 37 - 61)",""
4,"H31.05.02.H31.09.2005.284",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2005.284","H31.09.2005.002139","Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103)",2005,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2139/index.aspx?am=0,1,2&rf=639253254492554091","[HS 1] Ký hiệu: H31.05.02.H31.09.2005.284 | Mã HT: H31.09.2005.002139 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2005.284 | Mã HT: H31.09.2005.002240 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2005.284 | Mã HT: H31.09.2005.002417 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2005.284 | Mã HT: H31.09.2005.002594 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2005.284 | Mã HT: H31.09.2005.005573 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2005.284 | Mã HT: H31.09.2005.008552 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103)",""
5,"H31.05.02.H31.09.2005.285",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2005.285","H31.09.2005.002140","Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103)",2005,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2140/index.aspx?am=0,1,2&rf=639253254500210771","[HS 1] Ký hiệu: H31.05.02.H31.09.2005.285 | Mã HT: H31.09.2005.002140 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2005.285 | Mã HT: H31.09.2005.002241 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2005.285 | Mã HT: H31.09.2005.002418 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2005.285 | Mã HT: H31.09.2005.002595 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2005.285 | Mã HT: H31.09.2005.005574 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2005.285 | Mã HT: H31.09.2005.008553 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 103)",""
6,"H31.05.02.H31.09.2005.286",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2005.286","H31.09.2005.002141","Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 155)",2005,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2141/index.aspx?am=0,1,2&rf=639253254507398442","[HS 1] Ký hiệu: H31.05.02.H31.09.2005.286 | Mã HT: H31.09.2005.002141 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 155) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2005.286 | Mã HT: H31.09.2005.002242 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 155) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2005.286 | Mã HT: H31.09.2005.002419 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 155) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2005.286 | Mã HT: H31.09.2005.002596 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 155) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2005.286 | Mã HT: H31.09.2005.005575 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 155) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2005.286 | Mã HT: H31.09.2005.008554 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 155)",""
7,"H31.05.02.H31.09.2005.287",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2005.287","H31.09.2005.002142","Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 156 - 259)",2005,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2142/index.aspx?am=0,1,2&rf=639253254514898143","[HS 1] Ký hiệu: H31.05.02.H31.09.2005.287 | Mã HT: H31.09.2005.002142 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 156 - 259) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2005.287 | Mã HT: H31.09.2005.002243 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 156 - 259) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2005.287 | Mã HT: H31.09.2005.002420 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 156 - 259) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2005.287 | Mã HT: H31.09.2005.002597 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 156 - 259) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2005.287 | Mã HT: H31.09.2005.005576 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 156 - 259) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2005.287 | Mã HT: H31.09.2005.008555 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 156 - 259)",""
8,"H31.05.02.H31.09.2005.288",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2005.288","H31.09.2005.002143","Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 260-345).",2005,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2143/index.aspx?am=0,1,2&rf=639253254522399000","[HS 1] Ký hiệu: H31.05.02.H31.09.2005.288 | Mã HT: H31.09.2005.002143 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 260-345). ; [HS 2] Ký hiệu: H31.05.02.H31.09.2005.288 | Mã HT: H31.09.2005.002244 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 260-345). ; [HS 3] Ký hiệu: H31.05.02.H31.09.2005.288 | Mã HT: H31.09.2005.002421 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 260-345). ; [HS 4] Ký hiệu: H31.05.02.H31.09.2005.288 | Mã HT: H31.09.2005.002598 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 260-345). ; [HS 5] Ký hiệu: H31.05.02.H31.09.2005.288 | Mã HT: H31.09.2005.005577 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 260-345). ; [HS 6] Ký hiệu: H31.05.02.H31.09.2005.288 | Mã HT: H31.09.2005.008556 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 260-345).",""
9,"H31.05.02.H31.09.2005.289",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2005.289","H31.09.2005.002144","Tập lưu Hướng dẫn, Biên bản của Sở Xây dựng năm 2005",2005,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2144/index.aspx?am=0,1,2&rf=639253254530054706","[HS 1] Ký hiệu: H31.05.02.H31.09.2005.289 | Mã HT: H31.09.2005.002144 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Hướng dẫn, Biên bản của Sở Xây dựng năm 2005 ; [HS 2] Ký hiệu: H31.05.02.H31.09.2005.289 | Mã HT: H31.09.2005.002245 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Hướng dẫn, Biên bản của Sở Xây dựng năm 2005 ; [HS 3] Ký hiệu: H31.05.02.H31.09.2005.289 | Mã HT: H31.09.2005.002422 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Hướng dẫn, Biên bản của Sở Xây dựng năm 2005 ; [HS 4] Ký hiệu: H31.05.02.H31.09.2005.289 | Mã HT: H31.09.2005.002599 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Hướng dẫn, Biên bản của Sở Xây dựng năm 2005 ; [HS 5] Ký hiệu: H31.05.02.H31.09.2005.289 | Mã HT: H31.09.2005.005578 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Hướng dẫn, Biên bản của Sở Xây dựng năm 2005 ; [HS 6] Ký hiệu: H31.05.02.H31.09.2005.289 | Mã HT: H31.09.2005.008557 | Năm: 2005 (THBQ: 1) | Tiêu đề: Tập lưu Hướng dẫn, Biên bản của Sở Xây dựng năm 2005",""
10,"H31.05.02.H31.09.2006.290",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2006.290","H31.09.2006.002145","Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 78)",2006,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2145/index.aspx?am=0,1,2&rf=639253254537711818","[HS 1] Ký hiệu: H31.05.02.H31.09.2006.290 | Mã HT: H31.09.2006.002145 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 78) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2006.290 | Mã HT: H31.09.2006.002246 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 78) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2006.290 | Mã HT: H31.09.2006.002423 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 78) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2006.290 | Mã HT: H31.09.2006.002600 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 78) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2006.290 | Mã HT: H31.09.2006.005579 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 78) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2006.290 | Mã HT: H31.09.2006.008558 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 78)",""
11,"H31.05.02.H31.09.2006.291",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2006.291","H31.09.2006.002146","Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01-47)",2006,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2146/index.aspx?am=0,1,2&rf=639253254545055159","[HS 1] Ký hiệu: H31.05.02.H31.09.2006.291 | Mã HT: H31.09.2006.002146 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01-47) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2006.291 | Mã HT: H31.09.2006.002247 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01-47) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2006.291 | Mã HT: H31.09.2006.002424 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01-47) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2006.291 | Mã HT: H31.09.2006.002601 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01-47) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2006.291 | Mã HT: H31.09.2006.005580 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01-47) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2006.291 | Mã HT: H31.09.2006.008559 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01-47)",""
12,"H31.05.02.H31.09.2006.292",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2006.292","H31.09.2006.002147","Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 54)",2006,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2147/index.aspx?am=0,1,2&rf=639253254552399575","[HS 1] Ký hiệu: H31.05.02.H31.09.2006.292 | Mã HT: H31.09.2006.002147 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 54) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2006.292 | Mã HT: H31.09.2006.002248 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 54) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2006.292 | Mã HT: H31.09.2006.002425 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 54) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2006.292 | Mã HT: H31.09.2006.002602 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 54) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2006.292 | Mã HT: H31.09.2006.005581 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 54) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2006.292 | Mã HT: H31.09.2006.008560 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 54)",""
13,"H31.05.02.H31.09.2006.293",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2006.293","H31.09.2006.002148","Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 55 - 88)",2006,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2148/index.aspx?am=0,1,2&rf=639253254560055741","[HS 1] Ký hiệu: H31.05.02.H31.09.2006.293 | Mã HT: H31.09.2006.002148 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 55 - 88) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2006.293 | Mã HT: H31.09.2006.002249 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 55 - 88) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2006.293 | Mã HT: H31.09.2006.002426 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 55 - 88) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2006.293 | Mã HT: H31.09.2006.002603 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 55 - 88) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2006.293 | Mã HT: H31.09.2006.005582 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 55 - 88) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2006.293 | Mã HT: H31.09.2006.008561 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 55 - 88)",""
