STT,Mã kiểm tra,Trạng thái,Số lượng HS tìm thấy,Đánh giá trùng lặp,Tóm tắt đối chiếu,Ký hiệu hồ sơ (HS 1),Mã hệ thống (HS 1),Tiêu đề hồ sơ (HS 1),Năm (HS 1),Thời hạn bảo quản (HS 1),Link chi tiết (HS 1),Nội dung chi tiết tất cả hồ sơ quét được,Ghi chú / Lỗi
1,"H31.05.02.H31.09.2014.549",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.549","H31.09.2014.004344","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy sản xuất dầu và khô đậu tương Thị trấn Lương Bằng, huyện Kim Động năm 2014",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4344/index.aspx?am=0,1,2&rf=639253282694695764","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.549 | Mã HT: H31.09.2014.004344 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy sản xuất dầu và khô đậu tương Thị trấn Lương Bằng, huyện Kim Động năm 2014 ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.549 | Mã HT: H31.09.2014.007323 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy sản xuất dầu và khô đậu tương Thị trấn Lương Bằng, huyện Kim Động năm 2014 ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.549 | Mã HT: H31.09.2014.045961 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy sản xuất dầu và khô đậu tương Thị trấn Lương Bằng, huyện Kim Động năm 2014",""
2,"H31.05.02.H31.09.2014.548",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.548","H31.09.2014.004345","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Chợ trung tâm mua sắm Tiến Đạt xã Giai Phạm, Huyện Yên Mỹ năm 2014",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4345/index.aspx?am=0,1,2&rf=639253282702508359","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.548 | Mã HT: H31.09.2014.004345 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Chợ trung tâm mua sắm Tiến Đạt xã Giai Phạm, Huyện Yên Mỹ năm 2014 ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.548 | Mã HT: H31.09.2014.007324 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Chợ trung tâm mua sắm Tiến Đạt xã Giai Phạm, Huyện Yên Mỹ năm 2014 ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.548 | Mã HT: H31.09.2014.045962 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Chợ trung tâm mua sắm Tiến Đạt xã Giai Phạm, Huyện Yên Mỹ năm 2014",""
3,"H31.05.02.H31.09.2014.547",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.547","H31.09.2014.004346","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Chi nhánh công ty xây dựng số 18 thị trấn Bần Yên Nhân, huyện Mỹ Hào năm 2014",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4346/index.aspx?am=0,1,2&rf=639253282709696976","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.547 | Mã HT: H31.09.2014.004346 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Chi nhánh công ty xây dựng số 18 thị trấn Bần Yên Nhân, huyện Mỹ Hào năm 2014 ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.547 | Mã HT: H31.09.2014.007325 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Chi nhánh công ty xây dựng số 18 thị trấn Bần Yên Nhân, huyện Mỹ Hào năm 2014 ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.547 | Mã HT: H31.09.2014.045963 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Chi nhánh công ty xây dựng số 18 thị trấn Bần Yên Nhân, huyện Mỹ Hào năm 2014",""
4,"H31.05.02.H31.09.2014.546",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.546","H31.09.2014.004347","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy kết cấu thép - thiết bị nâng hạ xã Minh Đức, huyện Mỹ Hào năm 2014",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4347/index.aspx?am=0,1,2&rf=639253282717352811","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.546 | Mã HT: H31.09.2014.004347 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy kết cấu thép - thiết bị nâng hạ xã Minh Đức, huyện Mỹ Hào năm 2014 ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.546 | Mã HT: H31.09.2014.007326 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy kết cấu thép - thiết bị nâng hạ xã Minh Đức, huyện Mỹ Hào năm 2014 ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.546 | Mã HT: H31.09.2014.045964 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy kết cấu thép - thiết bị nâng hạ xã Minh Đức, huyện Mỹ Hào năm 2014",""
5,"H31.05.02.H31.09.2014.545",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.545","H31.09.2014.004348","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Phan Đình Phùng, huyện Mỹ Hào năm 2014. Tập 3: Hồ sơ bản vẽ hoàn công, các văn bản pháp lý",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4348/index.aspx?am=0,1,2&rf=639253282725321410","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.545 | Mã HT: H31.09.2014.004348 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Phan Đình Phùng, huyện Mỹ Hào năm 2014. Tập 3: Hồ sơ bản vẽ hoàn công, các văn bản pháp lý ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.545 | Mã HT: H31.09.2014.007327 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Phan Đình Phùng, huyện Mỹ Hào năm 2014. Tập 3: Hồ sơ bản vẽ hoàn công, các văn bản pháp lý ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.545 | Mã HT: H31.09.2014.045965 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Phan Đình Phùng, huyện Mỹ Hào năm 2014. Tập 3: Hồ sơ bản vẽ hoàn công, các văn bản pháp lý",""
6,"H31.05.02.H31.09.2014.544",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.544","H31.09.2014.004349","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Tận Châu, huyện Khoái Châu năm 2014. Tập 3: Hồ sơ bản vẽ hoàn công, các văn bản pháp lý",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4349/index.aspx?am=0,1,2&rf=639253282734071447","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.544 | Mã HT: H31.09.2014.004349 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Tận Châu, huyện Khoái Châu năm 2014. Tập 3: Hồ sơ bản vẽ hoàn công, các văn bản pháp lý ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.544 | Mã HT: H31.09.2014.007328 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Tận Châu, huyện Khoái Châu năm 2014. Tập 3: Hồ sơ bản vẽ hoàn công, các văn bản pháp lý ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.544 | Mã HT: H31.09.2014.045966 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Tận Châu, huyện Khoái Châu năm 2014. Tập 3: Hồ sơ bản vẽ hoàn công, các văn bản pháp lý",""
7,"H31.05.02.H31.09.2014.543",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.543","H31.09.2014.004350","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Tân Châu, huyện Khoái Châu năm 2009; Tập 2: Hồ sơ hoàn công quyển 4,6",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4350/index.aspx?am=0,1,2&rf=639253282741727983","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.543 | Mã HT: H31.09.2014.004350 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Tân Châu, huyện Khoái Châu năm 2009; Tập 2: Hồ sơ hoàn công quyển 4,6 ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.543 | Mã HT: H31.09.2014.007329 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Tân Châu, huyện Khoái Châu năm 2009; Tập 2: Hồ sơ hoàn công quyển 4,6 ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.543 | Mã HT: H31.09.2014.045967 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Tân Châu, huyện Khoái Châu năm 2009; Tập 2: Hồ sơ hoàn công quyển 4,6",""
8,"H31.05.02.H31.09.2014.542",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.542","H31.09.2014.004351","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Tân Châu, huyện Khoái Châu năm 2009; Tập 1: Hồ sơ hoàn công quyển 1,3",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4351/index.aspx?am=0,1,2&rf=639253282757510143","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.542 | Mã HT: H31.09.2014.004351 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Tân Châu, huyện Khoái Châu năm 2009; Tập 1: Hồ sơ hoàn công quyển 1,3 ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.542 | Mã HT: H31.09.2014.007330 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Tân Châu, huyện Khoái Châu năm 2009; Tập 1: Hồ sơ hoàn công quyển 1,3 ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.542 | Mã HT: H31.09.2014.045968 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy gạch Tuynel xã Tân Châu, huyện Khoái Châu năm 2009; Tập 1: Hồ sơ hoàn công quyển 1,3",""
9,"H31.05.02.H31.09.2014.541",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.541","H31.09.2014.004352","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Xây dựng nhà máy bao bì Tân Việt xã Tân Quang, huyện Văn Lâm năm 2014",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4352/index.aspx?am=0,1,2&rf=639253282767197285","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.541 | Mã HT: H31.09.2014.004352 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Xây dựng nhà máy bao bì Tân Việt xã Tân Quang, huyện Văn Lâm năm 2014 ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.541 | Mã HT: H31.09.2014.007331 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Xây dựng nhà máy bao bì Tân Việt xã Tân Quang, huyện Văn Lâm năm 2014 ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.541 | Mã HT: H31.09.2014.045969 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Xây dựng nhà máy bao bì Tân Việt xã Tân Quang, huyện Văn Lâm năm 2014",""
10,"H31.05.02.H31.09.2014.540",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.540","H31.09.2014.004353","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy sản xuất khoáng chế biến hoa quả xã Trưng Trắc, huyện Văn Lâm năm 2014",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4353/index.aspx?am=0,1,2&rf=639253282777353708","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.540 | Mã HT: H31.09.2014.004353 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy sản xuất khoáng chế biến hoa quả xã Trưng Trắc, huyện Văn Lâm năm 2014 ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.540 | Mã HT: H31.09.2014.007332 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy sản xuất khoáng chế biến hoa quả xã Trưng Trắc, huyện Văn Lâm năm 2014 ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.540 | Mã HT: H31.09.2014.045970 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy sản xuất khoáng chế biến hoa quả xã Trưng Trắc, huyện Văn Lâm năm 2014",""
11,"H31.05.02.H31.09.2014.539",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.539","H31.09.2014.004354","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Cơ sở giáo dục mầm non Hoa Sữa thị trấn Như Quỳnh, huyện Văn Lâm năm 2014",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4354/index.aspx?am=0,1,2&rf=639253282787510804","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.539 | Mã HT: H31.09.2014.004354 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Cơ sở giáo dục mầm non Hoa Sữa thị trấn Như Quỳnh, huyện Văn Lâm năm 2014 ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.539 | Mã HT: H31.09.2014.007333 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Cơ sở giáo dục mầm non Hoa Sữa thị trấn Như Quỳnh, huyện Văn Lâm năm 2014 ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.539 | Mã HT: H31.09.2014.045971 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Cơ sở giáo dục mầm non Hoa Sữa thị trấn Như Quỳnh, huyện Văn Lâm năm 2014",""
12,"H31.05.02.H31.09.2014.538",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.538","H31.09.2014.004355","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy Everpia xã Tân Quang, huyện Văn Lâm năm 2014",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4355/index.aspx?am=0,1,2&rf=639253282797510220","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.538 | Mã HT: H31.09.2014.004355 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy Everpia xã Tân Quang, huyện Văn Lâm năm 2014 ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.538 | Mã HT: H31.09.2014.007334 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy Everpia xã Tân Quang, huyện Văn Lâm năm 2014 ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.538 | Mã HT: H31.09.2014.045972 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy Everpia xã Tân Quang, huyện Văn Lâm năm 2014",""
13,"H31.05.02.H31.09.2014.537",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.537","H31.09.2014.004356","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2014. Tập 5: Bản vẽ Hoàn công, bản vẽ hoàn công hồ sơ thiết kế kỹ thuật thi công, Các văn bản pháp lý",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4356/index.aspx?am=0,1,2&rf=639253282807510398","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.537 | Mã HT: H31.09.2014.004356 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2014. Tập 5: Bản vẽ Hoàn công, bản vẽ hoàn công hồ sơ thiết kế kỹ thuật thi công, Các văn bản pháp lý ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.537 | Mã HT: H31.09.2014.007335 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2014. Tập 5: Bản vẽ Hoàn công, bản vẽ hoàn công hồ sơ thiết kế kỹ thuật thi công, Các văn bản pháp lý ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.537 | Mã HT: H31.09.2014.045973 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2014. Tập 5: Bản vẽ Hoàn công, bản vẽ hoàn công hồ sơ thiết kế kỹ thuật thi công, Các văn bản pháp lý",""
14,"H31.05.02.H31.09.2014.536",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.536","H31.09.2014.004357","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2005. Tập 4: Bản vẽ Hoàn công - Khu B",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4357/index.aspx?am=0,1,2&rf=639253282817355052","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.536 | Mã HT: H31.09.2014.004357 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2005. Tập 4: Bản vẽ Hoàn công - Khu B ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.536 | Mã HT: H31.09.2014.007336 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2005. Tập 4: Bản vẽ Hoàn công - Khu B ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.536 | Mã HT: H31.09.2014.045974 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2005. Tập 4: Bản vẽ Hoàn công - Khu B",""
15,"H31.05.02.H31.09.2014.535",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.535","H31.09.2014.004358","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2013. Tập 3: Bản vẽ Hoàn công - Khu A",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4358/index.aspx?am=0,1,2&rf=639253282827198283","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.535 | Mã HT: H31.09.2014.004358 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2013. Tập 3: Bản vẽ Hoàn công - Khu A ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.535 | Mã HT: H31.09.2014.007337 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2013. Tập 3: Bản vẽ Hoàn công - Khu A ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.535 | Mã HT: H31.09.2014.045975 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2013. Tập 3: Bản vẽ Hoàn công - Khu A",""
16,"H31.05.02.H31.09.2014.534",ĐÃ TỒN TẠI (3 HS),3,"CÙNG TIÊU ĐỀ","Có 3 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2014.534","H31.09.2014.004359","Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2008. Tập 2: Hồ sơ thiết kế kỹ thuật thi công - Khu B",2014,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/4359/index.aspx?am=0,1,2&rf=639253282837199281","[HS 1] Ký hiệu: H31.05.02.H31.09.2014.534 | Mã HT: H31.09.2014.004359 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2008. Tập 2: Hồ sơ thiết kế kỹ thuật thi công - Khu B ; [HS 2] Ký hiệu: H31.05.02.H31.09.2014.534 | Mã HT: H31.09.2014.007338 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2008. Tập 2: Hồ sơ thiết kế kỹ thuật thi công - Khu B ; [HS 3] Ký hiệu: H31.05.02.H31.09.2014.534 | Mã HT: H31.09.2014.045976 | Năm: 2014 (THBQ: 1) | Tiêu đề: Hồ sơ chứng nhận quyền sở hữu nhà ở, tài sản gắn liền với đất dự án: Nhà máy thép công nghiệp Nhật Quang xã Lạc Đạo, huyện Văn Lâm năm 2008. Tập 2: Hồ sơ thiết kế kỹ thuật thi công - Khu B",""
